Electoral district number,Electoral district name,Type of results,Surname,Middle name(s) ,Given name,Political affiliation,Appartenance politique,Votes obtained,% Votes obtained,Rejected ballots,Total number of ballots cast
24059,Québec,preliminary,Paquin,,Luc,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,119,.2,0,54355
24059,Québec,validated,Boutin,,Bianca,Conservative,Conservateur,8118,15,1051,55249
24059,Québec,validated,Bureau,,Tommy,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6220,11.5,1051,55249
24059,Québec,validated,CoRhino,,Sébastien,Parti Rhinocéros Party,Parti Rhinocéros Party,349,.6,1051,55249
24059,Québec,validated,Dabiré,,Bruno,People's Party,Parti populaire,674,1.2,1051,55249
24059,Québec,validated,Duclos,,Jean-Yves,Liberal,Libéral,18047,33.3,1051,55249
24059,Québec,validated,Gagnon,,Christiane,Bloc Québécois,Bloc Québécois,17722,32.7,1051,55249
24059,Québec,validated,Joli-Coeur,,Luc,Green Party,Parti Vert,2949,5.4,1051,55249
24059,Québec,validated,Paquin,,Luc,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,119,.2,1051,55249
24060,Repentigny,preliminary,Beauregard,,Diane,Green Party,Parti Vert,2240,3.4,0,64942
24060,Repentigny,preliminary,Benslimane,,Meryem,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4361,6.7,0,64942
24060,Repentigny,preliminary,Boucher Granger,,Micheline,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,347,.5,0,64942
24060,Repentigny,preliminary,Branchaud,,Pierre,Conservative,Conservateur,4851,7.5,0,64942
24060,Repentigny,preliminary,Larose,,Josée,Liberal,Libéral,17976,27.7,0,64942
24060,Repentigny,preliminary,Pauzé,,Monique,Bloc Québécois,Bloc Québécois,34644,53.3,0,64942
24060,Repentigny,preliminary,Saint-Laurent,,Samuel,People's Party,Parti populaire,523,.8,0,64942
24060,Repentigny,validated,Beauregard,,Diane,Green Party,Parti Vert,2289,3.5,1316,66772
24060,Repentigny,validated,Benslimane,,Meryem,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4470,6.8,1316,66772
24060,Repentigny,validated,Boucher Granger,,Micheline,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,347,.5,1316,66772
24060,Repentigny,validated,Branchaud,,Pierre,Conservative,Conservateur,4878,7.5,1316,66772
24060,Repentigny,validated,Larose,,Josée,Liberal,Libéral,18111,27.7,1316,66772
24060,Repentigny,validated,Pauzé,,Monique,Bloc Québécois,Bloc Québécois,34837,53.2,1316,66772
24060,Repentigny,validated,Saint-Laurent,,Samuel,People's Party,Parti populaire,524,.8,1316,66772
24061,Richmond--Arthabaska,preliminary,Guérin,,Olivier,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2813,4.8,0,58495
24061,Richmond--Arthabaska,preliminary,Horth-Lepage,,Laura,Green Party,Parti Vert,3073,5.3,0,58495
24061,Richmond--Arthabaska,preliminary,Landry,,Jean,People's Party,Parti populaire,680,1.2,0,58495
24061,Richmond--Arthabaska,preliminary,Nolin,,Olivier,Bloc Québécois,Bloc Québécois,16475,28.2,0,58495
24061,Richmond--Arthabaska,preliminary,Patry,,Marc,Liberal,Libéral,8878,15.2,0,58495
24061,Richmond--Arthabaska,preliminary,Rayes,,Alain,Conservative,Conservateur,26576,45.4,0,58495
24061,Richmond--Arthabaska,validated,Guérin,,Olivier,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2864,4.9,1077,59715
24061,Richmond--Arthabaska,validated,Horth-Lepage,,Laura,Green Party,Parti Vert,3133,5.3,1077,59715
24061,Richmond--Arthabaska,validated,Landry,,Jean,People's Party,Parti populaire,681,1.2,1077,59715
24061,Richmond--Arthabaska,validated,Nolin,,Olivier,Bloc Québécois,Bloc Québécois,16539,28.2,1077,59715
24061,Richmond--Arthabaska,validated,Patry,,Marc,Liberal,Libéral,8868,15.1,1077,59715
24061,Richmond--Arthabaska,validated,Rayes,,Alain,Conservative,Conservateur,26553,45.3,1077,59715
24062,Rivière-des-Mille-Îles,preliminary,Borgers,,Ceylan,Green Party,Parti Vert,3043,5.3,0,57780
24062,Rivière-des-Mille-Îles,preliminary,Desilets,,Luc,Bloc Québécois,Bloc Québécois,23521,40.7,0,57780
24062,Rivière-des-Mille-Îles,preliminary,Hakizimana,,Joseph,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4933,8.5,0,57780
24062,Rivière-des-Mille-Îles,preliminary,Lapointe,,Linda,Liberal,Libéral,20773,36,0,57780
24062,Rivière-des-Mille-Îles,preliminary,Mikhael,,Maikel,Conservative,Conservateur,4668,8.1,0,57780
24062,Rivière-des-Mille-Îles,preliminary,Roker Jr,,Hans,People's Party,Parti populaire,842,1.5,0,57780
24062,Rivière-des-Mille-Îles,validated,Borgers,,Ceylan,Green Party,Parti Vert,3015,5.2,1090,59274
24062,Rivière-des-Mille-Îles,validated,Desilets,,Luc,Bloc Québécois,Bloc Québécois,23629,40.6,1090,59274
24062,Rivière-des-Mille-Îles,validated,Hakizimana,,Joseph,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5002,8.6,1090,59274
24062,Rivière-des-Mille-Îles,validated,Lapointe,,Linda,Liberal,Libéral,21009,36.1,1090,59274
24062,Rivière-des-Mille-Îles,validated,Mikhael,,Maikel,Conservative,Conservateur,4684,8.1,1090,59274
24062,Rivière-des-Mille-Îles,validated,Roker Jr,,Hans,People's Party,Parti populaire,845,1.5,1090,59274
24063,Rivière-du-Nord,preliminary,Fortin,,Rhéal,Bloc Québécois,Bloc Québécois,30620,52.3,0,58578
24063,Rivière-du-Nord,preliminary,Fréchette,,Sylvie,Conservative,Conservateur,6891,11.8,0,58578
24063,Rivière-du-Nord,preliminary,Gagnon,,Florence,Liberal,Libéral,12954,22.1,0,58578
24063,Rivière-du-Nord,preliminary,Leckman,,Joey,Green Party,Parti Vert,3293,5.6,0,58578
24063,Rivière-du-Nord,preliminary,Michaud,,Normand,People's Party,Parti populaire,397,.7,0,58578
24063,Rivière-du-Nord,preliminary,Ouellette,,Myriam,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4077,7,0,58578
24063,Rivière-du-Nord,preliminary,Riqueur-Lainé,,Nicolas,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,221,.4,0,58578
24063,Rivière-du-Nord,preliminary,St-Gelais,,Lucie,Independent,Indépendant(e),125,.2,0,58578
24063,Rivière-du-Nord,validated,Fortin,,Rhéal,Bloc Québécois,Bloc Québécois,31281,52,1206,61307
24063,Rivière-du-Nord,validated,Fréchette,,Sylvie,Conservative,Conservateur,7120,11.8,1206,61307
24063,Rivière-du-Nord,validated,Gagnon,,Florence,Liberal,Libéral,13402,22.3,1206,61307
24063,Rivière-du-Nord,validated,Leckman,,Joey,Green Party,Parti Vert,3345,5.6,1206,61307
24063,Rivière-du-Nord,validated,Michaud,,Normand,People's Party,Parti populaire,407,.7,1206,61307
24063,Rivière-du-Nord,validated,Ouellette,,Myriam,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4194,7,1206,61307
24063,Rivière-du-Nord,validated,Riqueur-Lainé,,Nicolas,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,225,.4,1206,61307
24063,Rivière-du-Nord,validated,St-Gelais,,Lucie,Independent,Indépendant(e),127,.2,1206,61307
24064,Rosemont--La Petite-Patrie,preliminary,André,,Claude,Bloc Québécois,Bloc Québécois,14158,24,0,59016
24064,Rosemont--La Petite-Patrie,preliminary,Boulerice,,Alexandre,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,24951,42.3,0,59016
24064,Rosemont--La Petite-Patrie,preliminary,Desrochers,,Gisèle,ML,ML,77,.1,0,59016
24064,Rosemont--La Petite-Patrie,preliminary,Désy,,Jean,Green Party,Parti Vert,3485,5.9,0,59016
24064,Rosemont--La Petite-Patrie,preliminary,Hinse,,Geneviève,Liberal,Libéral,14245,24.1,0,59016
24064,Rosemont--La Petite-Patrie,preliminary,Lavoie,,Jos Guitare,Parti Rhinocéros Party,Parti Rhinocéros Party,342,.6,0,59016
24064,Rosemont--La Petite-Patrie,preliminary,Pellerin,,Bobby,People's Party,Parti populaire,285,.5,0,59016
24064,Rosemont--La Petite-Patrie,preliminary,Raymond,,Normand,Communist,Communiste,85,.1,0,59016
24064,Rosemont--La Petite-Patrie,preliminary,Sarfati,,Johanna,Conservative,Conservateur,1388,2.4,0,59016
24064,Rosemont--La Petite-Patrie,validated,André,,Claude,Bloc Québécois,Bloc Québécois,14306,23.8,718,60924
24064,Rosemont--La Petite-Patrie,validated,Boulerice,,Alexandre,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,25575,42.5,718,60924
24064,Rosemont--La Petite-Patrie,validated,Desrochers,,Gisèle,ML,ML,80,.1,718,60924
24064,Rosemont--La Petite-Patrie,validated,Désy,,Jean,Green Party,Parti Vert,3539,5.9,718,60924
24064,Rosemont--La Petite-Patrie,validated,Hinse,,Geneviève,Liberal,Libéral,14576,24.2,718,60924
24064,Rosemont--La Petite-Patrie,validated,Lavoie,,Jos Guitare,Parti Rhinocéros Party,Parti Rhinocéros Party,346,.6,718,60924
24064,Rosemont--La Petite-Patrie,validated,Pellerin,,Bobby,People's Party,Parti populaire,293,.5,718,60924
24064,Rosemont--La Petite-Patrie,validated,Raymond,,Normand,Communist,Communiste,86,.1,718,60924
24064,Rosemont--La Petite-Patrie,validated,Sarfati,,Johanna,Conservative,Conservateur,1405,2.3,718,60924
24065,Marc-Aurèle-Fortin,preliminary,Baudelot,,Sonia,Conservative,Conservateur,5390,9.7,0,55351
24065,Marc-Aurèle-Fortin,preliminary,Faour,,Ali,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4618,8.3,0,55351
24065,Marc-Aurèle-Fortin,preliminary,Migliozzi,,Emilio,People's Party,Parti populaire,494,.9,0,55351
24065,Marc-Aurèle-Fortin,preliminary,Nitoi,,Lizabel,Bloc Québécois,Bloc Québécois,17989,32.5,0,55351
24065,Marc-Aurèle-Fortin,preliminary,Progakis,,Elias,Independent,Indépendant(e),148,.3,0,55351
24065,Marc-Aurèle-Fortin,preliminary,Robillard,,Yves,Liberal,Libéral,24652,44.5,0,55351
24065,Marc-Aurèle-Fortin,preliminary,Tran Le,,Bao,Green Party,Parti Vert,2060,3.7,0,55351
24065,Marc-Aurèle-Fortin,validated,Baudelot,,Sonia,Conservative,Conservateur,5423,9.7,924,56741
24065,Marc-Aurèle-Fortin,validated,Faour,,Ali,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4741,8.5,924,56741
24065,Marc-Aurèle-Fortin,validated,Migliozzi,,Emilio,People's Party,Parti populaire,465,.8,924,56741
24065,Marc-Aurèle-Fortin,validated,Nitoi,,Lizabel,Bloc Québécois,Bloc Québécois,18069,32.4,924,56741
24065,Marc-Aurèle-Fortin,validated,Progakis,,Elias,Independent,Indépendant(e),143,.3,924,56741
24065,Marc-Aurèle-Fortin,validated,Robillard,,Yves,Liberal,Libéral,24865,44.5,924,56741
24065,Marc-Aurèle-Fortin,validated,Tran Le,,Bao,Green Party,Parti Vert,2111,3.8,924,56741
24066,Saint-Hyacinthe--Bagot,preliminary,Barré,,Bernard,Conservative,Conservateur,8024,14.4,0,55543
24066,Saint-Hyacinthe--Bagot,preliminary,Bélanger,,Jean-François,People's Party,Parti populaire,484,.9,0,55543
24066,Saint-Hyacinthe--Bagot,preliminary,Huet-Côté,,Sabrina,Green Party,Parti Vert,2000,3.6,0,55543
24066,Saint-Hyacinthe--Bagot,preliminary,Sansoucy,,Brigitte,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10212,18.4,0,55543
24066,Saint-Hyacinthe--Bagot,preliminary,Savard-Tremblay,,Simon-Pierre,Bloc Québécois,Bloc Québécois,22995,41.4,0,55543
24066,Saint-Hyacinthe--Bagot,preliminary,Vincelette,,René,Liberal,Libéral,11828,21.3,0,55543
24066,Saint-Hyacinthe--Bagot,validated,Barré,,Bernard,Conservative,Conservateur,8062,14.4,1391,57305
24066,Saint-Hyacinthe--Bagot,validated,Bélanger,,Jean-François,People's Party,Parti populaire,478,.9,1391,57305
24066,Saint-Hyacinthe--Bagot,validated,Huet-Côté,,Sabrina,Green Party,Parti Vert,2031,3.6,1391,57305
24066,Saint-Hyacinthe--Bagot,validated,Sansoucy,,Brigitte,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10297,18.4,1391,57305
24066,Saint-Hyacinthe--Bagot,validated,Savard-Tremblay,,Simon-Pierre,Bloc Québécois,Bloc Québécois,23143,41.4,1391,57305
24066,Saint-Hyacinthe--Bagot,validated,Vincelette,,René,Liberal,Libéral,11903,21.3,1391,57305
24067,Saint-Jean,preliminary,Chenail,,André-Philippe,Green Party,Parti Vert,3056,5,0,61354
24067,Saint-Jean,preliminary,Hivon,,Marc,People's Party,Parti populaire,391,.6,0,61354
24067,Saint-Jean,preliminary,Normandin,,Christine,Bloc Québécois,Bloc Québécois,27677,45.1,0,61354
24067,Saint-Jean,preliminary,Reeves,,Chantal,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4711,7.7,0,61354
24067,Saint-Jean,preliminary,Rioux,,Jean,Liberal,Libéral,18767,30.6,0,61354
24067,Saint-Jean,preliminary,Savary,,Yvon,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,286,.5,0,61354
24067,Saint-Jean,preliminary,Thibert,,Martin,Conservative,Conservateur,6466,10.5,0,61354
24067,Saint-Jean,validated,Chenail,,André-Philippe,Green Party,Parti Vert,3127,5.1,1241,63116
24067,Saint-Jean,validated,Hivon,,Marc,People's Party,Parti populaire,397,.6,1241,63116
24067,Saint-Jean,validated,Normandin,,Christine,Bloc Québécois,Bloc Québécois,27750,44.8,1241,63116
24067,Saint-Jean,validated,Reeves,,Chantal,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4794,7.7,1241,63116
24067,Saint-Jean,validated,Rioux,,Jean,Liberal,Libéral,18906,30.6,1241,63116
24067,Saint-Jean,validated,Savary,,Yvon,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,289,.5,1241,63116
24067,Saint-Jean,validated,Thibert,,Martin,Conservative,Conservateur,6612,10.7,1241,63116
24068,Saint-Laurent,preliminary,Boutet,,Ginette,ML,ML,71,.2,0,39629
24068,Saint-Laurent,preliminary,Gallo,,Miranda,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3976,10,0,39629
24068,Saint-Laurent,preliminary,Kokotsis,,Georgia,Green Party,Parti Vert,2101,5.3,0,39629
24068,Saint-Laurent,preliminary,Lambropoulos,,Emmanuella,Liberal,Libéral,23272,58.7,0,39629
24068,Saint-Laurent,preliminary,Mikus,,Christopher,People's Party,Parti populaire,475,1.2,0,39629
24068,Saint-Laurent,preliminary,Miljours,,Thérèse,Bloc Québécois,Bloc Québécois,2820,7.1,0,39629
24068,Saint-Laurent,preliminary,Serour,,Richard,Conservative,Conservateur,6914,17.4,0,39629
24068,Saint-Laurent,validated,Boutet,,Ginette,ML,ML,71,.2,618,40765
24068,Saint-Laurent,validated,Gallo,,Miranda,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4065,10.1,618,40765
24068,Saint-Laurent,validated,Kokotsis,,Georgia,Green Party,Parti Vert,2150,5.4,618,40765
24068,Saint-Laurent,validated,Lambropoulos,,Emmanuella,Liberal,Libéral,23527,58.6,618,40765
24068,Saint-Laurent,validated,Mikus,,Christopher,People's Party,Parti populaire,484,1.2,618,40765
24068,Saint-Laurent,validated,Miljours,,Thérèse,Bloc Québécois,Bloc Québécois,2845,7.1,618,40765
24068,Saint-Laurent,validated,Serour,,Richard,Conservative,Conservateur,7005,17.4,618,40765
24069,Saint-Léonard--Saint-Michel,preliminary,Ayala,,Paulina,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2896,6.4,0,45000
24069,Saint-Léonard--Saint-Michel,preliminary,Colly,,Garnet,ML,ML,85,.2,0,45000
24069,Saint-Léonard--Saint-Michel,preliminary,Di Serio,,Tina,People's Party,Parti populaire,515,1.1,0,45000
24069,Saint-Léonard--Saint-Michel,preliminary,Guillet,,Hassan,Independent,Indépendant(e),3126,6.9,0,45000
24069,Saint-Léonard--Saint-Michel,preliminary,Lattanzio,,Patricia,Liberal,Libéral,27553,61.2,0,45000
24069,Saint-Léonard--Saint-Michel,preliminary,Maiolo,,Ilario,Conservative,Conservateur,5353,11.9,0,45000
24069,Saint-Léonard--Saint-Michel,preliminary,Mougin,,Dominique,Bloc Québécois,Bloc Québécois,4324,9.6,0,45000
24069,Saint-Léonard--Saint-Michel,preliminary,Szilagyi,,Alessandra,Green Party,Parti Vert,1148,2.6,0,45000
24069,Saint-Léonard--Saint-Michel,validated,Ayala,,Paulina,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2964,6.5,993,46427
24069,Saint-Léonard--Saint-Michel,validated,Colly,,Garnet,ML,ML,85,.2,993,46427
24069,Saint-Léonard--Saint-Michel,validated,Di Serio,,Tina,People's Party,Parti populaire,501,1.1,993,46427
24069,Saint-Léonard--Saint-Michel,validated,Guillet,,Hassan,Independent,Indépendant(e),3061,6.7,993,46427
24069,Saint-Léonard--Saint-Michel,validated,Lattanzio,,Patricia,Liberal,Libéral,27866,61.3,993,46427
24069,Saint-Léonard--Saint-Michel,validated,Maiolo,,Ilario,Conservative,Conservateur,5423,11.9,993,46427
24069,Saint-Léonard--Saint-Michel,validated,Mougin,,Dominique,Bloc Québécois,Bloc Québécois,4351,9.6,993,46427
24069,Saint-Léonard--Saint-Michel,validated,Szilagyi,,Alessandra,Green Party,Parti Vert,1183,2.6,993,46427
24070,Saint-Maurice--Champlain,preliminary,Boisguérin,,Barthélémy,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3016,5.2,0,58029
24070,Saint-Maurice--Champlain,preliminary,Champagne,,François-Philippe,Liberal,Libéral,22961,39.6,0,58029
24070,Saint-Maurice--Champlain,preliminary,Courchesne,,Bruno-Pier,Conservative,Conservateur,9497,16.4,0,58029
24070,Saint-Maurice--Champlain,preliminary,Dufresne,,Stéphanie,Green Party,Parti Vert,1763,3,0,58029
24070,Saint-Maurice--Champlain,preliminary,Déziel,,Julie,People's Party,Parti populaire,936,1.6,0,58029
24070,Saint-Maurice--Champlain,preliminary,Morin,,Nicole,Bloc Québécois,Bloc Québécois,19856,34.2,0,58029
24070,Saint-Maurice--Champlain,validated,Boisguérin,,Barthélémy,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3071,5.3,1307,59721
24070,Saint-Maurice--Champlain,validated,Champagne,,François-Philippe,Liberal,Libéral,23104,39.6,1307,59721
24070,Saint-Maurice--Champlain,validated,Courchesne,,Bruno-Pier,Conservative,Conservateur,9542,16.3,1307,59721
24070,Saint-Maurice--Champlain,validated,Dufresne,,Stéphanie,Green Party,Parti Vert,1809,3.1,1307,59721
24070,Saint-Maurice--Champlain,validated,Déziel,,Julie,People's Party,Parti populaire,938,1.6,1307,59721
24070,Saint-Maurice--Champlain,validated,Morin,,Nicole,Bloc Québécois,Bloc Québécois,19950,34.2,1307,59721
24071,Salaberry--Suroît,preliminary,AlShawa,,Nahed,Green Party,Parti Vert,1970,3.1,0,62568
24071,Salaberry--Suroît,preliminary,Bertrand,,Luc,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,348,.6,0,62568
24071,Salaberry--Suroît,preliminary,Debellefeuille,,Claude,Bloc Québécois,Bloc Québécois,29904,47.8,0,62568
24071,Salaberry--Suroît,preliminary,Faubert,,Marc,Liberal,Libéral,18546,29.6,0,62568
24071,Salaberry--Suroît,preliminary,Gottman,,Joan,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4966,7.9,0,62568
24071,Salaberry--Suroît,preliminary,Larivière,,Cynthia,Conservative,Conservateur,6073,9.7,0,62568
24071,Salaberry--Suroît,preliminary,Savard,,Alain,People's Party,Parti populaire,761,1.2,0,62568
24071,Salaberry--Suroît,validated,AlShawa,,Nahed,Green Party,Parti Vert,1997,3.2,1285,64188
24071,Salaberry--Suroît,validated,Bertrand,,Luc,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,342,.5,1285,64188
24071,Salaberry--Suroît,validated,Debellefeuille,,Claude,Bloc Québécois,Bloc Québécois,29975,47.7,1285,64188
24071,Salaberry--Suroît,validated,Faubert,,Marc,Liberal,Libéral,18682,29.7,1285,64188
24071,Salaberry--Suroît,validated,Gottman,,Joan,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5024,8,1285,64188
24071,Salaberry--Suroît,validated,Larivière,,Cynthia,Conservative,Conservateur,6116,9.7,1285,64188
24071,Salaberry--Suroît,validated,Savard,,Alain,People's Party,Parti populaire,767,1.2,1285,64188
24072,Shefford,preliminary,Breton,,Pierre,Liberal,Libéral,22472,37.1,0,60552
24072,Shefford,preliminary,Clermont,,Nathalie,Conservative,Conservateur,7470,12.3,0,60552
24072,Shefford,preliminary,Daviault,,Darlène,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,291,.5,0,60552
24072,Shefford,preliminary,Larouche,,Andréanne,Bloc Québécois,Bloc Québécois,23438,38.7,0,60552
24072,Shefford,preliminary,Plamondon,,Raymonde,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3631,6,0,60552
24072,Shefford,preliminary,Sabbagh,,Mariam,People's Party,Parti populaire,493,.8,0,60552
24072,Shefford,preliminary,Turgeon,,Katherine,Green Party,Parti Vert,2757,4.6,0,60552
24072,Shefford,validated,Breton,,Pierre,Liberal,Libéral,22605,37.1,1313,62226
24072,Shefford,validated,Clermont,,Nathalie,Conservative,Conservateur,7495,12.3,1313,62226
24072,Shefford,validated,Daviault,,Darlène,Pour l'Indépendance du Québec,Pour l'Indépendance du Québec,294,.5,1313,62226
24072,Shefford,validated,Larouche,,Andréanne,Bloc Québécois,Bloc Québécois,23503,38.6,1313,62226
24072,Shefford,validated,Plamondon,,Raymonde,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3705,6.1,1313,62226
24072,Shefford,validated,Sabbagh,,Mariam,People's Party,Parti populaire,497,.8,1313,62226
24072,Shefford,validated,Turgeon,,Katherine,Green Party,Parti Vert,2814,4.6,1313,62226
24073,Sherbrooke,preliminary,Brière,,Élisabeth,Liberal,Libéral,17551,29.3,0,59850
24073,Sherbrooke,preliminary,Côté,,Steve,Parti Rhinocéros Party,Parti Rhinocéros Party,221,.4,0,59850
24073,Sherbrooke,preliminary,Dusseault,,Pierre-Luc,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,16917,28.3,0,59850
24073,Sherbrooke,preliminary,Forgues,,Claude,Bloc Québécois,Bloc Québécois,15465,25.8,0,59850
24073,Sherbrooke,preliminary,Moreno,,Edwin,Independent,Indépendant(e),482,.8,0,59850
24073,Sherbrooke,preliminary,Morin,,Mathieu,Green Party,Parti Vert,2721,4.5,0,59850
24073,Sherbrooke,preliminary,Richard,,Hubert,No Affiliation,Aucune appartenance,117,.2,0,59850
24073,Sherbrooke,preliminary,Sévigny,,Dany,Conservative,Conservateur,6376,10.7,0,59850
24073,Sherbrooke,validated,Brière,,Élisabeth,Liberal,Libéral,17490,29.3,1003,60729
24073,Sherbrooke,validated,Côté,,Steve,Parti Rhinocéros Party,Parti Rhinocéros Party,219,.4,1003,60729
24073,Sherbrooke,validated,Dusseault,,Pierre-Luc,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,16881,28.3,1003,60729
24073,Sherbrooke,validated,Forgues,,Claude,Bloc Québécois,Bloc Québécois,15470,25.9,1003,60729
24073,Sherbrooke,validated,Moreno,,Edwin,Independent,Indépendant(e),471,.8,1003,60729
24073,Sherbrooke,validated,Morin,,Mathieu,Green Party,Parti Vert,2716,4.5,1003,60729
24073,Sherbrooke,validated,Richard,,Hubert,No Affiliation,Aucune appartenance,117,.2,1003,60729
24073,Sherbrooke,validated,Sévigny,,Dany,Conservative,Conservateur,6362,10.7,1003,60729
24074,Vaudreuil--Soulanges,preliminary,Cox,,Karen,Conservative,Conservateur,7712,11.4,0,67564
24074,Vaudreuil--Soulanges,preliminary,MacDonald,,Amanda,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7263,10.7,0,67564
24074,Vaudreuil--Soulanges,preliminary,Rouillard,,Noémie,Bloc Québécois,Bloc Québécois,16550,24.5,0,67564
24074,Vaudreuil--Soulanges,preliminary,Schiefke,,Peter,Liberal,Libéral,31971,47.3,0,67564
24074,Vaudreuil--Soulanges,preliminary,Stiff,,Cameron,Green Party,Parti Vert,3373,5,0,67564
24074,Vaudreuil--Soulanges,preliminary,Tam,,Kaylin,People's Party,Parti populaire,695,1,0,67564
24074,Vaudreuil--Soulanges,validated,Cox,,Karen,Conservative,Conservateur,7804,11.5,962,69104
24074,Vaudreuil--Soulanges,validated,MacDonald,,Amanda,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7368,10.8,962,69104
24074,Vaudreuil--Soulanges,validated,Rouillard,,Noémie,Bloc Québécois,Bloc Québécois,16600,24.4,962,69104
24074,Vaudreuil--Soulanges,validated,Schiefke,,Peter,Liberal,Libéral,32254,47.3,962,69104
24074,Vaudreuil--Soulanges,validated,Stiff,,Cameron,Green Party,Parti Vert,3405,5,962,69104
24074,Vaudreuil--Soulanges,validated,Tam,,Kaylin,People's Party,Parti populaire,711,1,962,69104
24075,Terrebonne,preliminary,Barnes,,Jeffrey,People's Party,Parti populaire,397,.7,0,60579
24075,Terrebonne,preliminary,Beauchemin,,Frédéric,Liberal,Libéral,17637,29.1,0,60579
24075,Terrebonne,preliminary,Beaudoin,,Maxime,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4524,7.5,0,60579
24075,Terrebonne,preliminary,Boudrias,,Michel,Bloc Québécois,Bloc Québécois,30785,50.8,0,60579
24075,Terrebonne,preliminary,Gagnon,,France,Conservative,Conservateur,4593,7.6,0,60579
24075,Terrebonne,preliminary,Hébert,,Jade,Independent,Indépendant(e),169,.3,0,60579
24075,Terrebonne,preliminary,Monette,,Réjean,Green Party,Parti Vert,2222,3.7,0,60579
24075,Terrebonne,preliminary,Vézina,,Paul,Parti Rhinocéros Party,Parti Rhinocéros Party,252,.4,0,60579
24075,Terrebonne,validated,Barnes,,Jeffrey,People's Party,Parti populaire,399,.7,1282,62617
24075,Terrebonne,validated,Beauchemin,,Frédéric,Liberal,Libéral,17944,29.3,1282,62617
24075,Terrebonne,validated,Beaudoin,,Maxime,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4627,7.5,1282,62617
24075,Terrebonne,validated,Boudrias,,Michel,Bloc Québécois,Bloc Québécois,31029,50.6,1282,62617
24075,Terrebonne,validated,Gagnon,,France,Conservative,Conservateur,4640,7.6,1282,62617
24075,Terrebonne,validated,Hébert,,Jade,Independent,Indépendant(e),159,.3,1282,62617
24075,Terrebonne,validated,Monette,,Réjean,Green Party,Parti Vert,2277,3.7,1282,62617
24075,Terrebonne,validated,Vézina,,Paul,Parti Rhinocéros Party,Parti Rhinocéros Party,260,.4,1282,62617
24076,Trois-Rivières,preliminary,Aubin,,Robert,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,9984,16.6,0,60208
24076,Trois-Rivières,preliminary,Charbonneau,,Louise,Bloc Québécois,Bloc Québécois,17178,28.5,0,60208
24076,Trois-Rivières,preliminary,Duplessis,,Marie,Green Party,Parti Vert,1462,2.4,0,60208
24076,Trois-Rivières,preliminary,Gingras,,Marc André,People's Party,Parti populaire,572,1,0,60208
24076,Trois-Rivières,preliminary,Lévesque,,Yves,Conservative,Conservateur,15192,25.2,0,60208
24076,Trois-Rivières,preliminary,Renaud-Martin,,Valérie,Liberal,Libéral,15676,26,0,60208
24076,Trois-Rivières,preliminary,St-Onge Lynch,,Ronald,Independent,Indépendant(e),144,.2,0,60208
