Electoral district number,Electoral district name,Type of results,Surname,Middle name(s) ,Given name,Political affiliation,Appartenance politique,Votes obtained,% Votes obtained,Rejected ballots,Total number of ballots cast
10007,St. John's South--Mount Pearl,preliminary,Anonsen,,Anne Marie,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10703,27.1,0,39514
10007,St. John's South--Mount Pearl,preliminary,Hayward,,Alexandra,Green Party,Parti Vert,717,1.8,0,39514
10007,St. John's South--Mount Pearl,preliminary,Jones,,David,Christian Heritage Party,Parti de l'Héritage Chrétien,137,.3,0,39514
10007,St. John's South--Mount Pearl,preliminary,Martin,,Terry,Conservative,Conservateur,7537,19.1,0,39514
10007,St. John's South--Mount Pearl,preliminary,O'Regan,,Seamus,Liberal,Libéral,20094,50.9,0,39514
10007,St. John's South--Mount Pearl,preliminary,Ruckpaul,,Benjamin,People's Party,Parti populaire,326,.8,0,39514
10007,St. John's South--Mount Pearl,validated,Anonsen,,Anne Marie,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10890,26.8,592,41258
10007,St. John's South--Mount Pearl,validated,Hayward,,Alexandra,Green Party,Parti Vert,740,1.8,592,41258
10007,St. John's South--Mount Pearl,validated,Jones,,David,Christian Heritage Party,Parti de l'Héritage Chrétien,141,.3,592,41258
10007,St. John's South--Mount Pearl,validated,Martin,,Terry,Conservative,Conservateur,7767,19.1,592,41258
10007,St. John's South--Mount Pearl,validated,O'Regan,,Seamus,Liberal,Libéral,20793,51.1,592,41258
10007,St. John's South--Mount Pearl,validated,Ruckpaul,,Benjamin,People's Party,Parti populaire,335,.8,592,41258
11001,Cardigan,preliminary,Beaton,,Glen,Green Party,Parti Vert,3006,13.9,0,21697
11001,Cardigan,preliminary,MacAulay,,Lawrence,Liberal,Libéral,10687,49.3,0,21697
11001,Cardigan,preliminary,Phelan,,Wayne,Conservative,Conservateur,6303,29.1,0,21697
11001,Cardigan,preliminary,Squires,,Christene,Christian Heritage Party,Parti de l'Héritage Chrétien,233,1.1,0,21697
11001,Cardigan,preliminary,Thiele,,Lynne,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1468,6.8,0,21697
11001,Cardigan,validated,Beaton,,Glen,Green Party,Parti Vert,3068,13.8,232,22399
11001,Cardigan,validated,MacAulay,,Lawrence,Liberal,Libéral,10939,49.3,232,22399
11001,Cardigan,validated,Phelan,,Wayne,Conservative,Conservateur,6439,29,232,22399
11001,Cardigan,validated,Squires,,Christene,Christian Heritage Party,Parti de l'Héritage Chrétien,240,1.1,232,22399
11001,Cardigan,validated,Thiele,,Lynne,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1481,6.7,232,22399
11002,Charlottetown,preliminary,Byrne,,Joe,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2193,11.4,0,19252
11002,Charlottetown,preliminary,Campbell,,Robert A.,Conservative,Conservateur,3924,20.4,0,19252
11002,Charlottetown,preliminary,Casey,,Sean,Liberal,Libéral,8509,44.2,0,19252
11002,Charlottetown,preliminary,Lanthier,,Darcie,Green Party,Parti Vert,4458,23.2,0,19252
11002,Charlottetown,preliminary,MacLeod,,Fred,Christian Heritage Party,Parti de l'Héritage Chrétien,168,.9,0,19252
11002,Charlottetown,validated,Byrne,,Joe,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2238,11.2,274,20184
11002,Charlottetown,validated,Campbell,,Robert A.,Conservative,Conservateur,4040,20.3,274,20184
11002,Charlottetown,validated,Casey,,Sean,Liberal,Libéral,8812,44.3,274,20184
11002,Charlottetown,validated,Lanthier,,Darcie,Green Party,Parti Vert,4648,23.3,274,20184
11002,Charlottetown,validated,MacLeod,,Fred,Christian Heritage Party,Parti de l'Héritage Chrétien,172,.9,274,20184
11003,Egmont,preliminary,Clark,,Alex,Green Party,Parti Vert,3747,19.7,0,19058
11003,Egmont,preliminary,Dunn,,Sharon,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1182,6.2,0,19058
11003,Egmont,preliminary,McLellan,,Logan,Conservative,Conservateur,6616,34.7,0,19058
11003,Egmont,preliminary,Morrissey,,Bobby,Liberal,Libéral,7513,39.4,0,19058
11003,Egmont,validated,Clark,,Alex,Green Party,Parti Vert,3998,19.8,274,20452
11003,Egmont,validated,Dunn,,Sharon,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1230,6.1,274,20452
11003,Egmont,validated,McLellan,,Logan,Conservative,Conservateur,6934,34.4,274,20452
11003,Egmont,validated,Morrissey,,Bobby,Liberal,Libéral,8016,39.7,274,20452
11004,Malpeque,preliminary,Easter,,Wayne,Liberal,Libéral,9533,41.4,0,23030
11004,Malpeque,preliminary,Keenan,,Anna,Green Party,Parti Vert,6103,26.5,0,23030
11004,Malpeque,preliminary,Nash,,Craig,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1495,6.5,0,23030
11004,Malpeque,preliminary,Stewart,,Stephen,Conservative,Conservateur,5899,25.6,0,23030
11004,Malpeque,validated,Easter,,Wayne,Liberal,Libéral,9533,41.4,288,23327
11004,Malpeque,validated,Keenan,,Anna,Green Party,Parti Vert,6103,26.5,288,23327
11004,Malpeque,validated,Nash,,Craig,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,1495,6.5,288,23327
11004,Malpeque,validated,Stewart,,Stephen,Conservative,Conservateur,5908,25.6,288,23327
12001,Cape Breton--Canso,preliminary,Dockrill,,Michelle,Independent,Indépendant(e),671,1.6,0,41857
12001,Cape Breton--Canso,preliminary,Doucet,,Clive,Green Party,Parti Vert,3246,7.8,0,41857
12001,Cape Breton--Canso,preliminary,Joyce,,Billy,People's Party,Parti populaire,968,2.3,0,41857
12001,Cape Breton--Canso,preliminary,Kelloway,,Mike,Liberal,Libéral,16097,38.5,0,41857
12001,Cape Breton--Canso,preliminary,LeBlanc,,Darlene Lynn,National Citizens Alliance,Alliance Nationale Citoyens,139,.3,0,41857
12001,Cape Breton--Canso,preliminary,MacLeod,,Alfie,Conservative,Conservateur,14478,34.6,0,41857
12001,Cape Breton--Canso,preliminary,Suitor,,Laurie,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6258,15,0,41857
12001,Cape Breton--Canso,validated,Dockrill,,Michelle,Independent,Indépendant(e),685,1.6,601,43541
12001,Cape Breton--Canso,validated,Doucet,,Clive,Green Party,Parti Vert,3321,7.7,601,43541
12001,Cape Breton--Canso,validated,Joyce,,Billy,People's Party,Parti populaire,925,2.2,601,43541
12001,Cape Breton--Canso,validated,Kelloway,,Mike,Liberal,Libéral,16694,38.9,601,43541
12001,Cape Breton--Canso,validated,LeBlanc,,Darlene Lynn,National Citizens Alliance,Alliance Nationale Citoyens,140,.3,601,43541
12001,Cape Breton--Canso,validated,MacLeod,,Alfie,Conservative,Conservateur,14821,34.5,601,43541
12001,Cape Breton--Canso,validated,Suitor,,Laurie,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6354,14.8,601,43541
12002,Central Nova,preliminary,Canyon,,George,Conservative,Conservateur,13201,29.6,0,44559
12002,Central Nova,preliminary,Fraser,,Sean,Liberal,Libéral,20718,46.5,0,44559
12002,Central Nova,preliminary,Frazer,,Chris,Communist,Communiste,179,.4,0,44559
12002,Central Nova,preliminary,MacDonald,,Betsy,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5896,13.2,0,44559
12002,Central Nova,preliminary,Muir,,Al,People's Party,Parti populaire,938,2.1,0,44559
12002,Central Nova,preliminary,Randle,,Barry,Green Party,Parti Vert,3478,7.8,0,44559
12002,Central Nova,preliminary,Slowik,,Michael,Independent,Indépendant(e),149,.3,0,44559
12002,Central Nova,validated,Canyon,,George,Conservative,Conservateur,13201,29.7,412,44882
12002,Central Nova,validated,Fraser,,Sean,Liberal,Libéral,20718,46.6,412,44882
12002,Central Nova,validated,Frazer,,Chris,Communist,Communiste,180,.4,412,44882
12002,Central Nova,validated,MacDonald,,Betsy,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5806,13.1,412,44882
